id,sport_fk,year,manufacturer_fk,mainset,subset,playername,cardno,parallel,rookie,auto,serialnumbered,memorabilia,photourl,pricing_fk,listedproduct_fk
40,1,2021,1,Prospects,Chrome,Andrew Vaughn,BCP-88,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
41,1,2021,1,Prospects,Chrome,Nolan Jones,BCP-35,Speckle Refractor,N,N,066/299,N,NULL,NULL,NULL
42,1,2021,1,Chrome,Prospects,Alexander Mojica,BCP-179,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
43,1,2021,1,Chrome,Prospects,Riley Greene,BCP-188,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
44,1,2021,1,Chrome,Prospects,Jarren Duran,BCP-170,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
45,1,2021,1,Chrome,Prospects,Austin Hendrick,BCP-177,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
46,1,2021,1,Chrome,Prospects,Kristian Robinson,BCP-158,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
47,1,2021,1,Chrome,Prospects,Ronny Mauricio,BCP-210,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
48,1,2021,1,Chrome,Prospects,Mick Abel,BCP-219,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
49,1,2021,1,Chrome,Prospects,Maximo Acosta,BCP-163,Mini-Diamond,N,N,N,N,NULL,NULL,NULL
50,1,2021,1,1991,Base,Jarred Kelenic,91B-JK,N,N,N,N,N,NULL,NULL,NULL
51,1,2021,1,1991,Base,Jarred Kelenic,91B-JK,N,N,N,N,N,NULL,NULL,NULL
52,1,2021,1,Chrome,Prospects,Julio Rodriguez,BCP-231,N,N,N,N,N,NULL,NULL,NULL
53,1,2021,1,Chrome,Prospects,Jarred Kelenic,BCP-102,N,N,N,N,N,NULL,NULL,NULL
54,1,2021,1,Chrome,Prospects,Jarred Kelenic,BCP-102,N,N,N,N,N,NULL,NULL,NULL
55,1,2021,1,Prospects,Chrome,Jarred Kelenic,BCP-102,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
56,1,2021,1,Prospects,Chrome,Jarred Kelenic,BCP-102,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
57,1,2021,1,Prospects,Chrome,Jarred Kelenic,BCP-102,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
58,1,2021,1,Prospects,Chrome,Julio Rodriguez,BCP-86,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
59,1,2021,1,Prospects,Chrome,Julio Rodriguez,BCP-86,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
60,1,2021,1,Prospects,Chrome,Jarred Kelenic,BCP-102,Saphire Blue,N,N,N,N,NULL,NULL,NULL
61,1,2021,1,Prospects,Paper,Jarred Kelenic,BP-102,N,N,N,N,N,NULL,NULL,NULL
62,1,2021,1,Prospects,Paper,Jarred Kelenic,BP-102,N,N,N,N,N,NULL,NULL,NULL
63,1,2021,1,Prospects,Paper,Julio Rodriguez,BP-86,N,N,N,N,N,NULL,NULL,NULL
64,1,2019,1,Prospects,Chrome,Julio Rodriguez,BCP-33,N,N,N,N,N,NULL,NULL,NULL
65,1,2020,1,Prospects,Paper,Wander Franco,BP-1,N,N,N,N,N,NULL,NULL,NULL
66,1,2022,2,Base,N,Wander Franco,215,N,Y,N,N,N,NULL,NULL,NULL
67,1,2019,1,Chrome,Talent Pipeline,Ronaldo Hernandez - Nick Solak - Brent Honeywell,TB-TBR,Gold Refractor,P,N,36/50,N,NULL,NULL,NULL
68,1,2019,1,Chrome,Talent Pipeline,Tristen Lutz - Keston Hiura - Corbin Burnes,TP-MIL,Gold Refractor,P,N,31/50,N,NULL,NULL,NULL
69,1,2019,1,Chrome,Talent Pipeline,Luis Escobar - KeBryan Hayes - Mitch Keller,TP-PIT,Gold Refractor,P,N,20/50,N,NULL,NULL,NULL
70,1,2019,1,Chrome,Talent Pipeline,Estevan Florial - Trevor Stephan - Chance Adams,TP-NYY,Gold Refractor,P,N,37/50,N,NULL,NULL,NULL
71,1,2019,1,Chrome,Talent Pipeline,Jazz Chisholm - Taylor Widener - Taylor Clarke,TP-ARI,Gold Refractor,P,N,30/50,N,NULL,NULL,NULL
72,1,2019,1,Chrome,Talent Pipeline,Blake Rutherford - Zach Collins - Eloy Jimenez,TP-CWS,Gold Refractor,P,N,31/50,N,NULL,NULL,NULL
